model,split,epoch,accuracy
Xenova/all-MiniLM-L12-v2,train,22,0.9675882458686829
Xenova/all-MiniLM-L12-v2,val,22,0.34392523765563965
Xenova/all-MiniLM-L12-v2,test,22,0.5089743733406067
Xenova/all-MiniLM-L12-v2,train,23,0.9699033498764038
Xenova/all-MiniLM-L12-v2,val,23,0.35389408469200134
Xenova/all-MiniLM-L12-v2,test,23,0.5134615302085876
Xenova/all-MiniLM-L12-v2,train,24,0.9704480767250061
Xenova/all-MiniLM-L12-v2,val,24,0.36386293172836304
Xenova/all-MiniLM-L12-v2,test,24,0.5211538672447205
Xenova/all-MiniLM-L12-v2,train,25,0.9733079671859741
Xenova/all-MiniLM-L12-v2,val,25,0.3532710373401642
Xenova/all-MiniLM-L12-v2,test,25,0.514102578163147
Xenova/all-MiniLM-L12-v2,train,26,0.9741250872612
Xenova/all-MiniLM-L12-v2,val,26,0.35514017939567566
Xenova/all-MiniLM-L12-v2,test,26,0.5205128192901611
Xenova/all-MiniLM-L12-v2,train,27,0.9784829616546631
Xenova/all-MiniLM-L12-v2,val,27,0.3576323986053467
Xenova/all-MiniLM-L12-v2,test,27,0.5243589878082275
Xenova/all-MiniLM-L12-v2,train,28,0.9791638851165771
Xenova/all-MiniLM-L12-v2,val,28,0.3433021903038025
Xenova/all-MiniLM-L12-v2,test,28,0.5096153616905212
Xenova/all-MiniLM-L12-v2,train,29,0.9812066555023193
Xenova/all-MiniLM-L12-v2,val,29,0.34953272342681885
Xenova/all-MiniLM-L12-v2,test,29,0.5153846144676208
Xenova/paraphrase-MiniLM-L3-v2,train,0,0.5072858929634094
Xenova/paraphrase-MiniLM-L3-v2,val,0,0.35077881813049316
Xenova/paraphrase-MiniLM-L3-v2,test,0,0.5352563858032227
Xenova/paraphrase-MiniLM-L3-v2,train,1,0.7742067575454712
Xenova/paraphrase-MiniLM-L3-v2,val,1,0.3570093512535095
Xenova/paraphrase-MiniLM-L3-v2,test,1,0.5775641202926636
Xenova/paraphrase-MiniLM-L3-v2,train,2,0.8270462155342102
Xenova/paraphrase-MiniLM-L3-v2,val,2,0.36822429299354553
Xenova/paraphrase-MiniLM-L3-v2,test,2,0.5692307949066162
Xenova/paraphrase-MiniLM-L3-v2,train,3,0.8568705320358276
Xenova/paraphrase-MiniLM-L3-v2,val,3,0.3401869237422943
Xenova/paraphrase-MiniLM-L3-v2,test,3,0.5326923131942749
Xenova/paraphrase-MiniLM-L3-v2,train,4,0.8717145919799805
Xenova/paraphrase-MiniLM-L3-v2,val,4,0.3320872187614441
Xenova/paraphrase-MiniLM-L3-v2,test,4,0.5230769515037537
Xenova/paraphrase-MiniLM-L3-v2,train,5,0.8871033787727356
Xenova/paraphrase-MiniLM-L3-v2,val,5,0.3308411240577698
Xenova/paraphrase-MiniLM-L3-v2,test,5,0.5160256624221802
Xenova/paraphrase-MiniLM-L3-v2,train,6,0.8966363072395325
Xenova/paraphrase-MiniLM-L3-v2,val,6,0.336448609828949
Xenova/paraphrase-MiniLM-L3-v2,test,6,0.517307698726654
Xenova/paraphrase-MiniLM-L3-v2,train,7,0.9063053727149963
Xenova/paraphrase-MiniLM-L3-v2,val,7,0.3420560657978058
Xenova/paraphrase-MiniLM-L3-v2,test,7,0.5198717713356018
Xenova/paraphrase-MiniLM-L3-v2,train,8,0.9114803671836853
Xenova/paraphrase-MiniLM-L3-v2,val,8,0.33146417140960693
Xenova/paraphrase-MiniLM-L3-v2,test,8,0.5128205418586731
Xenova/paraphrase-MiniLM-L3-v2,train,9,0.919106662273407
Xenova/paraphrase-MiniLM-L3-v2,val,9,0.33520248532295227
Xenova/paraphrase-MiniLM-L3-v2,test,9,0.5205128192901611
Xenova/paraphrase-MiniLM-L3-v2,train,10,0.9238731265068054
Xenova/paraphrase-MiniLM-L3-v2,val,10,0.3264797627925873
Xenova/paraphrase-MiniLM-L3-v2,test,10,0.5153846144676208
Xenova/paraphrase-MiniLM-L3-v2,train,11,0.9294566512107849
Xenova/paraphrase-MiniLM-L3-v2,val,11,0.34517133235931396
Xenova/paraphrase-MiniLM-L3-v2,test,11,0.5134615302085876
Xenova/paraphrase-MiniLM-L3-v2,train,12,0.9323165416717529
Xenova/paraphrase-MiniLM-L3-v2,val,12,0.34828659892082214
Xenova/paraphrase-MiniLM-L3-v2,test,12,0.5153846144676208
Xenova/paraphrase-MiniLM-L3-v2,train,13,0.9373553395271301
Xenova/paraphrase-MiniLM-L3-v2,val,13,0.33520248532295227
Xenova/paraphrase-MiniLM-L3-v2,test,13,0.5070512890815735
Xenova/paraphrase-MiniLM-L3-v2,train,14,0.9399428367614746
Xenova/paraphrase-MiniLM-L3-v2,val,14,0.33956387639045715
Xenova/paraphrase-MiniLM-L3-v2,test,14,0.504487156867981
Xenova/paraphrase-MiniLM-L3-v2,train,15,0.9457987546920776
Xenova/paraphrase-MiniLM-L3-v2,val,15,0.336448609828949
Xenova/paraphrase-MiniLM-L3-v2,test,15,0.5012820363044739
Xenova/paraphrase-MiniLM-L3-v2,train,16,0.9490671753883362
Xenova/paraphrase-MiniLM-L3-v2,val,16,0.34517133235931396
Xenova/paraphrase-MiniLM-L3-v2,test,16,0.5128205418586731
Xenova/paraphrase-MiniLM-L3-v2,train,17,0.9504290223121643
